SEND at 1000000; 0; 
FINISH at 4461946; 
C; 500000; 102400000; 3461946; 29.5787
SEND at 4461956; 1; 
FINISH at 8531846; 
C; 500000; 102400000; 4069890; 25.1604
SEND at 8531856; 2; 
FINISH at 14404868; 
C; 500000; 102400000; 5873012; 17.4357
SEND at 14404878; 3; 
FINISH at 15275352; 
C; 500000; 102400000; 870474; 117.637
SEND at 15275362; 4; 
FINISH at 16145837; 
C; 500000; 102400000; 870475; 117.637
SEND at 16145847; 5; 
FINISH at 17016321; 
C; 500000; 102400000; 870474; 117.637
SEND at 17016331; 6; 
FINISH at 17886805; 
C; 500000; 102400000; 870474; 117.637
SEND at 17886815; 7; 
FINISH at 18757289; 
C; 500000; 102400000; 870474; 117.637
SEND at 18757299; 8; 
FINISH at 19627774; 
C; 500000; 102400000; 870475; 117.637
SEND at 19627784; 9; 
